Time,Symbol,Side,Size,Entry Price,Exit Price,Exit Reason,Duration,ROE %,PnL USDT,Win/Loss
2026-08-07 00:09:57,ETHUSDT,LONG,0.0380,1907.35,1905.63,STOP_LOSS,3451.7s,-0.09,-0.0944,Loss
2026-08-07 00:23:17,ETHUSDT,SHORT,0.0090,1906.38,1904.26,TAKE_PROFIT,360.4s,0.11,0.0122,Win
2026-08-07 00:40:16,ETHUSDT,LONG,0.0090,1903.32,1907.72,SIGNAL_EXIT,747.7s,0.23,0.0327,Win
2026-08-07 04:52:23,ETHUSDT,SHORT,0.0200,1907.72,1900.10,TAKE_PROFIT,15126.8s,0.40,0.1372,Win
2026-08-07 05:08:12,ETHUSDT,LONG,0.0380,1900.10,1898.75,STOP_LOSS,949.5s,-0.07,-0.0802,Loss
2026-08-07 06:33:28,ETHUSDT,SHORT,0.0290,1902.69,1905.63,STOP_LOSS,3382.4s,-0.15,-0.1065,Loss
2026-08-07 06:33:44,ETHUSDT,LONG,0.0290,1905.63,1905.96,SIGNAL_EXIT,16.1s,0.02,-0.0125,Loss
2026-08-07 09:32:03,ETHUSDT,LONG,0.0090,1898.55,1895.38,STOP_LOSS,6639.5s,-0.17,-0.0354,Loss
2026-08-07 10:09:03,ETHUSDT,SHORT,0.0290,1895.38,1897.17,SIGNAL_EXIT,2220.4s,-0.09,-0.0739,Loss
2026-08-07 10:21:27,ETHUSDT,LONG,0.0090,1897.17,1896.36,SIGNAL_EXIT,743.3s,-0.04,-0.0141,Loss
2026-08-07 10:22:52,ETHUSDT,SHORT,0.0290,1896.36,1895.18,TAKE_PROFIT,85.8s,0.06,0.0122,Win
2026-08-07 10:44:11,ETHUSDT,LONG,0.0090,1895.18,1898.13,SIGNAL_EXIT,1279.1s,0.16,0.0197,Win
2026-08-07 11:35:56,ETHUSDT,SHORT,0.0200,1898.13,1901.13,STOP_LOSS,3104.9s,-0.16,-0.0752,Loss
2026-08-07 11:44:48,ETHUSDT,LONG,0.0380,1901.13,1902.30,SIGNAL_EXIT,532.1s,0.06,0.0155,Win
2026-08-07 11:46:09,ETHUSDT,SHORT,0.0090,1902.30,1903.32,STOP_LOSS,79.6s,-0.05,-0.0160,Loss
2026-08-07 11:54:28,ETHUSDT,LONG,0.0310,1903.32,1904.81,TAKE_PROFIT,499.4s,0.08,0.0226,Win
